Layer,Group,Category,Subcategory,Term,Subterm,,,,,,,,,,,,
Layer 1,Group 1,Design Ontology & Foundations,Design Studies & Meta-Research,Design Studies,—,,,,,,,,,,,,
,,,,Design Research,Exploratory Research; Descriptive Research; Explanatory Research; Causal Research; Correlational Research; Prescriptive Research; Normative Research,,,,,,,,,,,,
,,,,Meta-Research in Design,—,,,,,,,,,,,,
,,,,Design Research Methodology,—,,,,,,,,,,,,
,,,,Research about Design; Research on Design,—,,,,,,,,,,,,
,,,,Research into Design,—,,,,,,,,,,,,
,,,Design Discourse & Terminology,Design Term,—,,,,,,,,,,,,
,,,,Design Terminology,—,,,,,,,,,,,,
,,,,Design Discourse,—,,,,,,,,,,,,
,,,,Design Vocabulary,—,,,,,,,,,,,,
,,,Design Ontology & Concepts,Design Ontology,—,,,,,,,,,,,,
,,,,Design Definition; Definition of Design,—,,,,,,,,,,,,
,,,,Design Etymology,—,,,,,,,,,,,,
,,,,Concept of Design,—,,,,,,,,,,,,
,,,,Nature of Design,—,,,,,,,,,,,,
,,,,Essence of Design,—,,,,,,,,,,,,
,,,Design Models,Design Model,—,,,,,,,,,,,,
,,,,Process Model of Design,—,,,,,,,,,,,,
,,,,Representation Model of Design,—,,,,,,,,,,,,
,,,,Theoretical Model of Design,—,,,,,,,,,,,,
,,,,Infrastructure Model of Design,—,,,,,,,,,,,,
,,,,System Model of Design,—,,,,,,,,,,,,
,,,,Information Model of Design,—,,,,,,,,,,,,
,,,,Computational Model of Design,—,,,,,,,,,,,,
,,,,Collaborative Model of Design,—,,,,,,,,,,,,
,,,Design Philosophy & Worldview,Design Philosophy,—,,,,,,,,,,,,
,,,,Design Foundations; Foundations of Design,—,,,,,,,,,,,,
,,,,Design Worldview,—,,,,,,,,,,,,
,,,,Design Universe; Design Cosmos; Design World,—,,,,,,,,,,,,
,,,Design as a Discipline,Design as a Discipline; Disciplinarity of Design,—,,,,,,,,,,,,
,,,,Disciplinary Boundaries of Design,—,,,,,,,,,,,,
,,,,Interdisciplinarity of Design; Transdisciplinarity of Design,—,,,,,,,,,,,,
,,,Meta & Preconditional Design,Meta Perspectives in Design; Meta-View of Design,—,,,,,,,,,,,,
,,,,Meta-Design; Metadesign; Design of Design,—,,,,,,,,,,,,
,,,,Foundational Design,—,,,,,,,,,,,,
,,,,Design as Ontological Condition,—,,,,,,,,,,,,
,,,,Preconditional Design,—,,,,,,,,,,,,
,,,,Design as Prerequisite; Design-as-Prerequisite; Prerequisite Design,—,,,,,,,,,,,,
,,,,Design Before Design,—,,,,,,,,,,,,
,,,,Infrastructural Design; Infrastructure Design,—,,,,,,,,,,,,
,,Design Theory & Epistemology,Design Theory,Design Theory; Theory of Design,—,,,,,,,,,,,,
,,,,Descriptive Design Theory,—,,,,,,,,,,,,
,,,,Explanatory Design Theory,—,,,,,,,,,,,,
,,,,Prescriptive Design Theory,—,,,,,,,,,,,,
